# BUSCO version is: 5.0.0 
# The lineage dataset is: nematoda_odb10 (Creation date: 2020-08-05, number of species: 7, number of BUSCOs: 3131)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
0at6231	Complete	hic_scaffold_3	3200421	3228618	-	9331.5	5769
4at6231	Complete	hic_scaffold_9	4287853	4304003	+	6417.8	3777	https://www.orthodb.org/v10?query=4at6231	Dynein heavy chain, cytoplasmic
6at6231	Complete	hic_scaffold_5	4224130	4242137	+	5267.2	3675
7at6231	Complete	hic_scaffold_8	1575828	1598621	-	4196.2	2775
9at6231	Complete	hic_scaffold_8	4397085	4409404	-	2543.2	2786
18at6231	Complete	hic_scaffold_9	2746296	2757585	-	3165.4	2501	https://www.orthodb.org/v10?query=18at6231	Vacuolar protein sorting-associated protein 13
19at6231	Complete	hic_scaffold_5	4254616	4265003	-	3846.5	2471	https://www.orthodb.org/v10?query=19at6231	putative scavenger receptor cysteine-rich domain protein
20at6231	Complete	hic_scaffold_2	2855784	2865365	-	1563.5	2027
21at6231	Complete	hic_scaffold_5	588379	602577	+	3338.3	2461
22at6231	Complete	hic_scaffold_9	2693621	2709229	-	3024.9	2139
23at6231	Complete	hic_scaffold_8	3421184	3437614	-	5732.4	3638
25at6231	Complete	hic_scaffold_4	1389951	1400747	+	2942.7	2172
28at6231	Complete	hic_scaffold_8	5241167	5249289	-	4532.5	2042
29at6231	Complete	hic_scaffold_3	5783446	5794163	+	2350.6	1933
31at6231	Missing
32at6231	Complete	hic_scaffold_1	5079709	5088723	+	4008.0	2174
35at6231	Complete	hic_scaffold_4	1609261	1618464	+	3534.5	1916
39at6231	Complete	hic_scaffold_1	5322416	5332850	-	2434.8	1681
40at6231	Fragmented	hic_scaffold_5	425640	431111	-	924.4	786
43at6231	Complete	hic_scaffold_9	3575724	3584066	-	2512.6	1864	https://www.orthodb.org/v10?query=43at6231	CRE-RME-8 protein
45at6231	Complete	hic_scaffold_8	6595706	6605267	+	2345.3	1714
48at6231	Complete	hic_scaffold_9	5789735	5797190	-	2217.7	1648
49at6231	Complete	hic_scaffold_6	1191099	1192812	-	393.2	364
55at6231	Complete	hic_scaffold_9	1842110	1849920	+	2080.6	1559
57at6231	Complete	hic_scaffold_9	4546115	4548616	+	680.7	533
60at6231	Complete	hic_scaffold_3	306235	319692	+	3602.9	2801
63at6231	Complete	hic_scaffold_3	1834669	1848568	-	3092.1	2400
65at6231	Complete	hic_scaffold_2	5832270	5839538	+	1681.5	1375
67at6231	Complete	hic_scaffold_5	628408	640147	-	3355.4	1858
68at6231	Complete	hic_scaffold_9	3345830	3351794	+	1760.9	1388	https://www.orthodb.org/v10?query=68at6231	Hypothetical protein CBG04027
72at6231	Complete	hic_scaffold_8	2676851	2682843	-	2899.0	1476	https://www.orthodb.org/v10?query=72at6231	Clathrin heavy chain
74at6231	Complete	hic_scaffold_9	6186889	6197156	-	2907.2	1452
76at6231	Complete	hic_scaffold_9	7516367	7537222	-	2556.6	2012
86at6231	Complete	hic_scaffold_6	2221911	2229223	+	2102.1	1546	https://www.orthodb.org/v10?query=86at6231	CRE-NMY-1 protein
88at6231	Complete	hic_scaffold_5	2301116	2308589	+	3040.8	1698
